,State,District,Latitude,Longitude,Population,Households_with_Internet,sex_ratio,literacy_rate
0,Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,2741239,5512,1001.0,54.0
1,Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,8606,977.0,57.0
2,Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,13763,997.0,64.0
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,22411,1006.0,64.0
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,19383,1003.0,61.0
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,149034,954.0,73.0
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,8831,1008.0,58.0
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,8628,1011.0,58.0
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,30438,992.0,67.0
9,Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,10081,988.0,52.0
10,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,4053028,6153,977.0,48.0
11,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,3033288,8635,992.0,54.0
12,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,3488809,7715,983.0,57.0
13,Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,2551335,5261,1040.0,54.0
14,Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,3397448,6151,981.0,56.0
15,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,2703114,3988,1015.0,55.0
16,Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,2344474,4453,1019.0,53.0
17,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,3512576,12952,997.0,59.0
18,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,3936966,12050,1004.0,67.0
19,Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,148226,170,926.0,49.0
20,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,78690,57,1029.0,49.0
21,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,99214,450,980.0,63.0
22,Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,92076,95,1032.0,40.0
23,Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,145726,312,912.0,57.0
24,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,54080,207,928.0,59.0
25,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,83030,381,984.0,65.0
26,Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,176573,2477,980.0,69.0
27,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,49977,96,714.0,52.0
28,Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,111975,98,944.0,43.0
29,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,35320,97,889.0,52.0
30,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,83448,139,998.0,54.0
31,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,83947,202,819.0,58.0
32,Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,112274,303,930.0,58.0
33,Assam,Barpeta,26.427872264631056,90.97912010178116,1693622,2078,953.0,53.0
34,Assam,Bongaigaon,26.45012521994133,90.6734296187684,738804,2523,966.0,59.0
35,Assam,Cachar,24.815570668693017,92.86849650455927,1736617,5316,959.0,68.0
36,Assam,Darrang,26.58463215962442,92.04141338028155,928500,1166,954.0,52.0
37,Assam,Dhemaji,27.586533438485816,94.71336908517353,686133,1192,953.0,62.0
38,Assam,Dibrugarh,27.30612284482757,95.0998282327587,1326335,8817,961.0,67.0
39,Assam,Goalpara,26.017277777777807,90.59869891598912,1008183,1364,964.0,56.0
40,Assam,Golaghat,26.377219709794485,93.82583397823468,1066888,3073,964.0,68.0
41,Assam,Hailakandi,24.457496089385486,92.59154664804475,659296,1211,951.0,62.0
42,Assam,Jorhat,26.76244824016563,94.30197722567289,1092256,5651,962.0,73.0
43,Assam,Kamrup,26.170939452054807,91.58863273972592,1517542,3109,949.0,66.0
44,Assam,Karbi Anglong,26.08966454598031,93.11536570271832,956313,1923,951.0,58.0
45,Assam,Karimganj,24.69660712250711,92.3679498575498,1228686,1933,963.0,65.0
46,Assam,Kokrajhar,26.497246635730868,90.13997470997688,887142,1218,959.0,55.0
47,Assam,Lakhimpur,27.14128805970149,94.0775949253732,1042137,1948,968.0,66.0
48,Assam,Nagaon,26.26462170626351,92.9306191144708,2823768,5121,962.0,61.0
49,Assam,Nalbari,26.46323767605632,91.40598521126763,771639,1631,949.0,69.0
50,Assam,Sonitpur,26.73514926829268,92.85197804878044,1924110,4358,956.0,58.0
51,Assam,Tinsukia,27.53549291139241,95.69055949367085,1327929,5135,952.0,60.0
52,Bihar,Araria,26.211528119180603,87.30766554934816,2811569,2561,921.0,43.0
53,Bihar,Aurangabad,24.774291867469877,84.45986024096379,2540073,2362,926.0,58.0
54,Bihar,Aurangabad,24.774291867469877,84.45986024096379,3701282,23258,923.0,68.0
55,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,2540073,2362,926.0,58.0
56,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,3701282,23258,923.0,68.0
57,Bihar,Banka,24.832355642023337,86.8664916342413,2034763,1704,907.0,47.0
58,Bihar,Begusarai,25.54302613168723,86.12560144032932,2970541,4644,895.0,52.0
59,Bihar,Bhagalpur,25.277192885375477,87.04213814229242,3037766,6764,880.0,52.0
60,Bihar,Bhojpur,25.50666439393939,84.49407803030304,2728407,3661,907.0,59.0
61,Bihar,Buxar,25.48593018867924,84.08808081760995,1706352,1784,922.0,58.0
62,Bihar,Darbhanga,26.146187719298258,85.97387352472099,3937385,6280,911.0,46.0
63,Bihar,Gaya,24.7266541547278,84.94291217765044,4391418,6856,937.0,52.0
64,Bihar,Gopalganj,26.44874364161851,84.34636127167629,2562012,3707,1021.0,54.0
65,Bihar,Jamui,24.78418380462726,86.26316298200514,1760405,1839,922.0,49.0
66,Bihar,Jehanabad,25.155679045643165,84.9208124481328,1125313,1106,922.0,55.0
67,Bihar,Katihar,25.56565356037151,87.70466083591326,3071029,2941,919.0,42.0
68,Bihar,Khagaria,25.53558891454964,86.56593256351037,1666886,1580,886.0,46.0
69,Bihar,Kishanganj,26.324336758321294,87.95045007235886,1690400,1093,950.0,44.0
70,Bihar,Lakhisarai,25.183449321266963,86.12825701357468,1000912,1186,902.0,51.0
71,Bihar,Madhepura,25.77341929460581,86.8978443983403,2001762,1397,911.0,42.0
72,Bihar,Madhubani,26.41380538172716,86.16328360450552,4487379,5319,926.0,48.0
73,Bihar,Munger,25.198537962962963,86.54173672839504,1367765,2653,876.0,59.0
74,Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,4801062,10290,900.0,52.0
75,Bihar,Nalanda,25.229345508982053,85.48053113772461,2877653,4156,922.0,53.0
76,Bihar,Nawada,24.825708836206903,85.61594568965519,2219146,1841,939.0,49.0
77,Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,3935042,3495,909.0,45.0
78,Bihar,Patna,25.40297114503818,85.3198433587787,5838465,40692,897.0,59.0
79,Bihar,Purba Champaran,26.68129336734693,85.00382155612242,5099371,7719,902.0,45.0
80,Bihar,Purnia,25.81714801901739,87.40447606973065,3264619,4170,921.0,41.0
81,Bihar,Rohtas,24.99170460829495,83.9350762672811,2959918,4594,918.0,61.0
82,Bihar,Saharsa,25.821270696721303,86.54670819672135,1900661,1668,906.0,42.0
83,Bihar,Samastipur,25.793205563909765,85.94833323308269,4261566,5379,911.0,50.0
84,Bihar,Saran,25.89656077844312,84.82266287425155,3951862,4509,954.0,55.0
85,Bihar,Sheikhpura,25.12472436548223,85.77839390862943,636342,631,930.0,52.0
86,Bihar,Sheohar,26.458380748663107,85.29539411764709,656246,478,893.0,43.0
87,Bihar,Sitamarhi,26.56570069686413,85.61172491289203,3423574,3460,899.0,42.0
88,Bihar,Siwan,26.1736372013652,84.33766552901022,3330464,3834,988.0,58.0
89,Bihar,Supaul,26.28157893772896,86.78496465201461,2229076,1845,929.0,46.0
90,Bihar,Vaishali,25.8134703180212,85.39247597173153,3495021,4810,895.0,55.0
91,Chandigarh,Chandigarh,30.7426,76.75872465753424,1055450,44283,818.0,76.0
92,Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,1413199,1782,1023.0,46.0
93,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,381956,1574,981.0,75.0
94,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,2663629,8566,971.0,60.0
95,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,381956,1574,981.0,75.0
96,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,2663629,8566,971.0,60.0
97,Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,799781,1016,1010.0,68.0
98,Chhattisgarh,Durg,21.194463849287164,81.33181639511197,3343872,16141,988.0,69.0
99,Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,851669,567,1005.0,58.0
100,Chhattisgarh,Korba,22.491712499999995,82.57604326923074,1206640,4544,969.0,62.0
101,Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,658917,1667,968.0,60.0
102,Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,1032754,961,1017.0,62.0
103,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,1493984,3342,991.0,64.0
104,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,2634200,38570,959.0,74.0
105,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,1493984,3342,991.0,64.0
106,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,2634200,38570,959.0,74.0
107,Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,4063872,20261,984.0,65.0
108,Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,2359886,2737,978.0,50.0
109,Daman and Diu,Daman,20.431616666666677,72.8392366071429,191173,1316,534.0,79.0
110,Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,2743082,6628,953.0,67.0
111,Gujarat,Junagadh,20.929523011609785,70.54733890140345,2743082,6628,953.0,67.0
112,Goa,North Goa,15.548723418714054,73.80667997909038,818008,23440,963.0,81.0
113,Goa,South Goa,15.195278658183785,73.941792596877,640537,17624,986.0,78.0
114,Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,7214225,126341,904.0,75.0
115,Gujarat,Amreli,21.04832649310872,71.43457637825426,1514190,2538,964.0,66.0
116,Gujarat,Anand,22.282718206229863,72.57782051557454,2092745,9902,925.0,74.0
117,Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,3120506,3424,938.0,55.0
118,Gujarat,Bharuch,21.75787276237761,72.67326346710801,1551019,10257,925.0,72.0
